CODIGO INEI;CODIGO CPNP;NOMBREDD;NOMBREPP;NOMBREDI;GPS;MACREGPOL/FP;REGPOL;DIVPOL/DIVOPUS;COMISARÍA;TIPO*;RURAL*;SECTORIAL*;ZONAL*;;;
1176;5470;APURIMAC;ANDAHUAYLAS;TALAVERA;-13.65629865,-73.43000742;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP TALAVERA;B;X;;;;;
1174;5472;APURIMAC;ANDAHUAYLAS;SAN JERONIMO;-13.65171414,-73.36533111;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP SAN JERONIMO;C;X;;;;;
1171;5474;APURIMAC;ANDAHUAYLAS;PACUCHA;-13.60919006,-73.34253779;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP PACUCHA;D;X;;;;;
1175;5476;APURIMAC;ANDAHUAYLAS;SANTA MARIA DE CHICMO;-13.65784382,-73.49472981;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP SANTA MARIA DE CHICMO;E;;;;;;
1172;5478;APURIMAC;ANDAHUAYLAS;PAMPACHIRI;-14.18713911,-73.5440726;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP PAMPACHIRI;E;X;;;;;
1166;5480;APURIMAC;ANDAHUAYLAS;JOSÉ MARÍA ARGUEDAS;-13.73001452,-73.35362315;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP HUANCABAMBA;D;X;;;;;
1170;5482;APURIMAC;ANDAHUAYLAS;KISHUARA;-13.69157951,-73.11830639;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP KISHUARA;D;X;;;;;
1168;5485;APURIMAC;ANDAHUAYLAS;HUANCARAMA;-13.64551483,-73.08410603;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP HUANCARAMA;D;X;;;;;
1167;5487;APURIMAC;ANDAHUAYLAS;ANDARAPA;-13.52823785,-73.36619916;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP ANDARAPA;D;X;;;;;
1169;5490;APURIMAC;ANDAHUAYLAS;HUANCARAY;-13.75698734,-73.52909919;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP HUANCARAY;E;X;;;;;
1173;5492;APURIMAC;ANDAHUAYLAS;SAN ANTONIO DE CACHI;-13.77271562,-73.60266085;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP SAN ANTONIO DE CACHI;D;X;;;;;
1184;5495;APURIMAC;CHINCHEROS;CHINCHEROS;-13.51717753,-73.72016752;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP CHINCHEROS;B;;X;;;;
1185;5497;APURIMAC;CHINCHEROS;ANCO_HUALLO;-13.53226947,-73.67853853;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP URIPA;C;X;;;;;
1188;5500;APURIMAC;CHINCHEROS;OCOBAMBA;-13.48280437,-73.56007697;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP OCOBAMBA;D;X;;;;;
1186;5502;APURIMAC;CHINCHEROS;COCHARCAS;-13.61176403,-73.74092909;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP COCHARCAS;D;X;;;;;
1187;5504;APURIMAC;CHINCHEROS;HUACCANA;-13.38914091,-73.68960378;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP HUACCANA;D;X;;;;;
1190;5506;APURIMAC;CHINCHEROS;URANMARCA;-13.67208309,-73.66937125;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP URANMARCA;D;X;;;;;
7004;5507;APURIMAC;CHINCHEROS;RANRACANCHA;-13.53334,-73.606662;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP RANRACANCHA;E;X;;;;;
