mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
300.0,168.0,4.0,2.0,0.0,50.0,6,0,7,3,806400.0
,400.0,3.0,3.0,2.0,18.0,8,0,7,1,1848000.0
150.0,61.0,1.0,1.0,0.0,60.0,15,0,7,2,335461.0
,300.0,4.0,2.0,1.0,30.0,9,0,7,2,2565000.0
560.0,198.0,4.0,3.0,2.0,15.0,4,0,7,2,1250000.0
,348.0,4.0,3.0,2.0,18.0,8,0,7,4,1406000.0
267.0,54.0,1.0,1.0,1.0,20.0,8,0,7,1,525000.0
,75.0,3.0,2.0,1.0,0.0,0,0,7,2,793000.0
500.0,80.0,1.0,2.0,0.0,0.0,14,0,7,1,846000.0
,269.0,3.0,2.0,0.0,50.0,9,0,7,2,2546000.0
732.0,170.0,3.0,2.0,1.0,56.0,5,0,7,2,1068800.0
,76.0,2.0,2.0,1.0,0.0,3,0,7,1,1082250.0
340.0,132.0,3.0,3.0,0.0,16.0,10,1,7,1,1120000.0
300.0,90.0,2.0,2.0,1.0,2.0,12,0,7,3,626450.0
879.0,210.0,3.0,3.0,2.0,15.0,10,0,7,2,1515000.0
220.0,60.0,1.0,1.0,1.0,16.0,10,0,7,2,459000.0
677.0,120.0,2.0,2.0,2.0,3.0,8,1,7,1,973520.0
359.0,99.0,3.0,2.0,0.0,30.0,5,2,7,2,500250.0
900.0,135.0,3.0,2.0,1.0,17.0,12,0,7,1,963015.0
225.0,40.0,1.0,1.0,0.0,0.0,8,0,7,1,465681.0
300.0,66.0,2.0,2.0,1.0,0.0,1,0,7,1,648720.0
,303.0,4.0,3.0,2.0,40.0,2,1,7,1,1891150.0
,150.0,3.0,1.0,1.0,57.0,5,0,7,2,901800.0
750.0,125.0,3.0,3.0,2.0,3.0,6,0,7,1,1016000.0
,59.0,2.0,2.0,0.0,0.0,12,0,7,2,595422.0
200.0,42.0,1.0,1.0,0.0,0.0,10,0,7,4,424253.0
550.0,162.0,3.0,2.0,2.0,28.0,12,1,7,1,1080000.0
,513.0,3.0,2.0,0.0,0.0,9,0,7,1,3885000.0
,58.0,2.0,2.0,0.0,1.0,7,0,7,3,431837.0
550.0,125.0,2.0,2.0,2.0,9.0,8,0,7,3,703500.0
280.0,80.0,2.0,2.0,0.0,40.0,10,1,7,2,465000.0
355.0,92.0,2.0,2.0,1.0,20.0,7,0,7,3,748000.0
280.0,67.0,2.0,2.0,1.0,0.0,10,0,7,2,518100.0
1200.0,303.0,4.0,4.0,2.0,12.0,10,0,7,2,2275000.0
550.0,136.0,3.0,2.0,1.0,19.0,14,0,7,1,873600.0
670.0,170.0,2.0,2.0,2.0,4.0,14,0,7,3,1273000.0
,638.0,4.0,4.0,5.0,14.0,9,0,7,1,7182000.0
,250.0,3.0,3.0,2.0,0.0,4,0,7,2,3173400.0
883.0,178.0,3.0,3.0,1.0,0.0,1,0,7,1,1322600.0
1300.0,349.0,4.0,4.0,3.0,12.0,1,0,7,1,3252900.0
,68.0,2.0,2.0,1.0,0.0,4,1,7,1,675000.0
2800.0,515.0,3.0,4.0,2.0,0.0,2,0,7,2,3740800.0
1650.0,432.0,4.0,5.0,2.0,3.0,7,0,7,3,3078800.0
750.0,184.0,3.0,3.0,0.0,0.0,11,0,7,3,1325398.0
,225.0,4.0,3.0,2.0,80.0,8,0,7,2,2370439.0
,403.0,3.0,2.0,0.0,11.0,9,0,7,1,2645000.0
300.0,90.0,2.0,3.0,1.0,12.0,15,1,7,1,570000.0
1365000.0,428.0,3.0,2.0,2.0,25.0,3,0,7,1,2780500.0
180.0,217.0,3.0,3.0,2.0,13.0,9,2,7,3,805000.0
900.0,96.0,2.0,2.0,2.0,9.0,7,0,7,3,939600.0
800.0,220.0,3.0,2.0,3.0,15.0,4,0,7,1,1734000.0
960.0,136.0,2.0,2.0,1.0,16.0,9,0,7,1,994150.0
,1130.0,19.0,22.0,4.0,70.0,10,1,7,1,7480000.0
,475.0,7.0,5.0,0.0,72.0,5,2,7,2,4950000.0
370.0,82.0,3.0,2.0,1.0,0.0,7,0,7,3,739100.0
250.0,101.0,3.0,3.0,1.0,18.0,8,0,7,3,740000.0
,156.0,3.0,4.0,2.0,10.0,4,0,7,2,1700000.0
,300.0,16.0,2.0,0.0,55.0,0,0,7,1,1230050.0
,170.0,3.0,2.0,1.0,25.0,1,0,7,2,989801.0
1361.0,288.0,4.0,3.0,4.0,9.0,7,0,7,1,2805600.0
,315.0,3.0,4.0,2.0,0.0,13,0,7,1,1852800.0
650.0,168.0,3.0,3.0,2.0,12.0,10,0,7,3,1032300.0
550.0,125.0,2.0,3.0,2.0,11.0,3,1,7,1,1087790.0
,102.0,2.0,2.0,0.0,55.0,7,0,7,3,530100.0
950.0,198.0,3.0,3.0,2.0,25.0,2,0,7,2,1547000.0
900.0,96.0,2.0,2.0,2.0,12.0,6,0,7,2,956300.0
,124.0,3.0,2.0,2.0,8.0,5,0,7,2,1045000.0
550.0,200.0,4.0,2.0,2.0,4.0,16,3,7,3,1172500.0
859.0,240.0,3.0,3.0,2.0,19.0,3,0,7,1,1921000.0
650.0,220.0,3.0,4.0,2.0,0.0,7,0,7,1,1467000.0
450.0,95.0,2.0,2.0,2.0,12.0,5,0,7,2,856275.0
180.0,107.0,3.0,2.0,0.0,53.0,3,0,7,1,635000.0
,540.0,4.0,2.0,4.0,57.0,7,0,7,3,4590000.0
