precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa
132620.0,34900.0,,120.0,,,,0.0,36.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-venta-de-terreno-urbanizado-con-todo-los-servicios-145728843.html?n_src=Listado&n_pg=4&n_pos=18,"urb lomas de pucusana, lima"
1182080.0,320000.0,1.0,200.0,3.0,3.0,4.0,5.0,17.0,2025-09-09,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-linda-casa-en-playa-los-pulpos_200-m-sup2-147549085.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=4&n_pos=19,"casa de playa en los pulpos, lima"
119000.0,35000.0,,5.0,,,,10.0,,2026-04-28,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-vendo-local-comercial-149694201.html?n_src=Listado&n_pg=4&n_pos=20,"centro comercial malvinas plaza, lima cercado"
,,,81.0,3.0,1.0,,40.0,94.0,2026-01-15,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-departamento-cerca-a-la-universidad-catolica-y-148655436.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=4&n_pos=21,"calle santa teodosia, lima cercado"
19005776.0,5041320.0,,2520.0,,,,0.0,29.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-venta-de-terreno_para-proyecto-inmobiliario-de-33-145009039.html?n_src=Listado&n_pg=4&n_pos=22,"av oscar r benavides al 2270-2320, lima cercado"
506000.0,138000.0,20.0,100.0,3.0,2.0,,40.0,162.0,,san miguel,B,https://www.adondevivir.com/propiedades/clasificado/veclapin-se-vende-departamento-frente-u.-catolica-limite-san-143503619.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=4&n_pos=23,"por ucatolica depa 100m2 patio 1erpiso, san miguel"
2370439.0,650000.0,,225.0,4.0,3.0,2.0,80.0,,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-de-casa-en-miraflores-149721478.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=4&n_pos=24,"urb santa cruz, miraflores"
860000.0,239900.0,250.0,93.0,2.0,2.0,,0.0,90.0,2026-03-16,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-departamento-2-dorm.-de-estreno-cerca-a-larco-149276339.html?n_src=Listado&n_pills=Piscina&n_pg=4&n_pos=25,"avenida reducto, miraflores"
430000.0,127000.0,200.0,41.0,1.0,1.0,,0.0,214.0,2026-02-27,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-departamento-de-estreno-41-m-sup2--de-1-dormitorio-149103770.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=4&n_pos=26,"avenida reducto, miraflores"
328000.0,95000.0,1.0,70.0,,1.0,,18.0,56.0,,chorrillos,B,https://www.adondevivir.com/propiedades/clasificado/vecllcin-vendo-local-comercial-primer-piso-esquina-cerca-a-la-142539312.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=4&n_pos=27,"av huaylas, chorrillos"
1729000.0,494000.0,1300.0,234.0,4.0,4.0,2.0,20.0,19.0,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-de-duplex-en-el-malecon-de-la-marina-frente-al-149719946.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=4&n_pos=28,"malecon de la marina al 600, miraflores"
10307500.0,2945000.0,,768.0,8.0,3.0,,50.0,29.0,2025-07-22,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/vecllcin-vendo-alquilo-casa-de-768-m-sup2--en-av-arequipa-147078277.html?n_src=Listado&n_pg=4&n_pos=29,"av arequipa, miraflores"
450000.0,135000.0,240.0,75.0,2.0,2.0,1.0,2.0,269.0,2025-05-19,barranco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-lindo-departamento-de-2-dorm.-en-barranco-146483526.html?n_src=Listado&n_pills=Jard%C3%ADn&n_pg=4&n_pos=30,"jr progreso, barranco"
671925.0,197625.0,300.0,127.0,2.0,2.0,,0.0,,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-duplex-127-m-sup2--terraza-jardin-miraflores-2-149719169.html?n_src=Listado&n_pills=Cerca+a+colegios&n_pg=5&n_pos=11,"malecon de la marina 1192, miraflores"
478930.0,140862.0,200.0,69.0,2.0,2.0,,0.0,19.0,2026-05-01,miraflores,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-depa-69-m-sup2--v.-malecon-miraflores-2-hab-149719116.html?n_src=Listado&n_pills=Guardian%C3%ADa%2FSeguridad+privada&n_pg=5&n_pos=12,"malecon de la marina 1192, miraflores"
5300000.0,1550000.0,720.0,560.0,3.0,4.0,,26.0,,2026-04-24,barranco,A,https://www.adondevivir.com/propiedades/clasificado/veclapin-exclusivo-triplex-en-venta-en-barranco-560-m-sup2--149643974.html?n_src=Listado&n_pills=Cuartos+de+servicio&n_pg=5&n_pos=13,"puente de la paz, barranco"
1842500.0,550000.0,550.0,3750.0,6.0,12.0,10.0,2.0,52.0,2025-11-25,pachacamac,D,https://www.adondevivir.com/propiedades/clasificado/veclcdin-espectacular-casa-de-campo-en-pachacamac-a-precio-de-148278961.html?n_src=Listado&n_pills=Parrilla&n_pg=5&n_pos=14,"calle las tilpas, pachacamac"
