mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
,55.0,1.0,1.0,0.0,5.0,0,0,6,1,1300.0
300.0,220.0,3.0,3.0,1.0,14.0,21,1,8,2,2900.0
,60.0,2.0,2.0,1.0,0.0,4,1,7,1,3400.0
400.0,200.0,3.0,3.0,2.0,23.0,13,2,7,3,4760.0
550.0,175.0,3.0,2.0,1.0,30.0,3,0,7,1,5400.0
400.0,86.0,2.0,2.0,1.0,5.0,3,0,6,1,3500.0
879.0,215.0,3.0,3.0,2.0,9.0,3,0,7,1,8375.0
,57.0,2.0,2.0,0.0,0.0,5,0,6,2,2250.0
120.0,50.0,2.0,1.0,0.0,6.0,9,0,1,3,1100.0
350.0,56.0,2.0,2.0,1.0,0.0,17,0,6,2,2800.0
316.0,46.0,1.0,1.0,1.0,2.0,7,1,7,1,2584.0
400.0,148.0,3.0,3.0,1.0,1.0,3,0,6,2,4600.0
300.0,45.0,1.0,1.0,0.0,1.0,5,0,7,1,3200.0
,75.0,1.0,1.0,0.0,3.0,17,0,6,3,1800.0
670.0,88.0,3.0,2.0,2.0,5.0,10,0,8,2,3500.0
260.0,78.0,3.0,2.0,0.0,10.0,8,0,8,4,2350.0
250.0,42.0,2.0,2.0,0.0,25.0,1,0,7,1,1200.0
600.0,100.0,3.0,3.0,1.0,4.0,0,0,10,1,4200.0
,120.0,2.0,1.0,0.0,30.0,21,0,6,2,3700.0
,50.0,3.0,1.0,0.0,5.0,3,0,1,2,1300.0
300.0,65.0,2.0,2.0,0.0,1.0,7,0,7,1,3270.0
150.0,50.0,1.0,1.0,0.0,1.0,11,0,7,1,1700.0
246.0,60.0,2.0,2.0,0.0,1.0,7,1,7,1,3230.0
,61.0,3.0,2.0,0.0,0.0,10,0,4,3,1200.0
450.0,123.0,3.0,2.0,1.0,0.0,8,0,7,1,3370.0
,55.0,1.0,1.0,0.0,0.0,1,0,7,1,2000.0
,297.0,4.0,5.0,2.0,0.0,0,0,10,1,8700.0
220.0,48.0,1.0,1.0,0.0,3.0,8,0,7,1,3094.0
195.0,91.0,3.0,2.0,0.0,8.0,5,0,7,4,2799.0
300.0,52.0,1.0,1.0,0.0,0.0,11,0,4,2,1850.0
600.0,60.0,1.0,1.0,1.0,0.0,4,0,8,2,3650.0
,75.0,2.0,1.0,0.0,2.0,5,0,1,1,950.0
150.0,26.0,1.0,1.0,0.0,6.0,13,1,8,3,1720.0
350.0,45.0,1.0,1.0,0.0,2.0,10,0,7,1,2500.0
,75.0,2.0,2.0,0.0,15.0,17,0,7,2,1800.0
350.0,120.0,3.0,4.0,1.0,5.0,5,0,7,1,3500.0
,38.0,1.0,1.0,0.0,10.0,4,0,7,1,1250.0
240.0,48.0,1.0,1.0,1.0,1.0,3,0,6,2,2300.0
,110.0,1.0,1.0,1.0,9.0,0,0,7,1,5179.0
290.0,63.0,2.0,2.0,1.0,4.0,8,0,7,1,3200.0
170.0,54.0,2.0,2.0,0.0,0.0,8,0,6,3,1800.0
,110.0,3.0,2.0,0.0,73.0,38,0,4,4,3400.0
150.0,55.0,2.0,1.0,1.0,0.0,18,0,6,3,2700.0
280.0,60.0,1.0,1.0,1.0,0.0,13,1,8,3,2800.0
,120.0,1.0,2.0,0.0,9.0,10,0,7,1,2100.0
150.0,52.0,1.0,1.0,0.0,7.0,5,0,6,3,1700.0
,100.0,3.0,2.0,0.0,5.0,21,2,1,3,960.0
200.0,49.0,2.0,2.0,1.0,6.0,17,4,8,3,2983.0
150.0,60.0,3.0,2.0,1.0,1.0,19,0,6,3,2200.0
,72.0,3.0,2.0,0.0,0.0,18,2,4,4,1800.0
,82.0,3.0,2.0,0.0,0.0,2,0,4,2,1000.0
300.0,60.0,2.0,2.0,0.0,5.0,8,1,4,4,2400.0
,20.0,2.0,1.0,0.0,49.0,10,0,7,2,950.0
340.0,95.0,3.0,2.0,0.0,2.0,12,0,4,4,2500.0
400.0,125.0,3.0,3.0,2.0,7.0,1,0,10,1,2100.0
1200.0,213.0,3.0,3.0,2.0,8.0,6,0,7,1,8375.0
240.0,82.0,3.0,3.0,1.0,13.0,15,0,6,3,2700.0
,134.0,3.0,2.0,1.0,10.0,7,0,8,1,2800.0
,60.0,2.0,2.0,0.0,3.0,5,0,5,1,1600.0
250.0,49.0,1.0,1.0,1.0,0.0,9,0,6,3,2500.0
390.0,174.0,3.0,4.0,2.0,9.0,15,0,7,2,3600.0
170.0,75.0,3.0,2.0,1.0,18.0,11,0,8,4,2600.0
250.0,66.0,2.0,2.0,1.0,0.0,23,0,6,2,2700.0
180.0,60.0,2.0,1.0,0.0,25.0,12,0,7,2,2600.0
,117.0,3.0,1.0,0.0,6.0,19,0,2,3,1600.0
,90.0,3.0,2.0,0.0,40.0,10,0,6,1,2600.0
,67.0,2.0,1.0,0.0,40.0,9,0,4,1,1600.0
730.0,180.0,4.0,2.0,2.0,2.0,10,0,7,1,7163.0
13.0,79.0,3.0,1.0,0.0,45.0,0,0,1,3,1450.0
40.0,45.0,2.0,1.0,0.0,15.0,1,0,9,1,1200.0
