,nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
7716,reina de la paz,san isidro,avenida alfredo salazar 1290,primaria,privada - parroquial,-12.10651,-77.04741
7719,rudolf steiner,san isidro,plaza padre constancio bollar 200,primaria,privada - particular,-12.09286,-77.0337
7721,sagrado corazon sophianum,san isidro,avenida salaverry 2100,primaria,privada - particular,-12.08606,-77.04934
7733,smart kids,san isidro,calle 16 148,inicial - cuna jardin,privada - particular,-12.09368,-77.01521
7734,tpj en festini,san isidro,jiron antequera 719,inicial - cuna jardin,privada - particular,-12.09492,-77.02861
7735,trilce de san isidro,san isidro,calle rio de la plata 120,secundaria,privada - particular,-12.10077,-77.0317
7736,villarreal,san isidro,avenida arequipa 2633,basica alternativa - avanzado,privada - particular,-12.09078,-77.03341
7738,pasitos del saber,sjl,mz p lote 01,inicial - jardin,publica - sector educacion,-11.94315,-76.96712
7739,dios camino y vida,sjl,mz a-2 lote 4,inicial - jardin,privada - particular,-11.94683,-76.98642
7740,115 31 gotitas de amor,sjl,lote cei,inicial - jardin,publica - sector educacion,-11.96044,-76.97796
7741,27 de marzo,sjl,pasaje progreso s/n mz o lote ce,inicial - jardin,publica - sector educacion,-11.9601,-76.97602
7743,0089 manuel gonzales prada,sjl,avenida principal mz d lote 6,secundaria,publica - sector educacion,-12.02075,-76.95666
7745,0143 solidaridad ii,sjl,campoy mz g zona iii,secundaria,publica - sector educacion,-12.01564,-76.9648
7746,maria de la merced,sjl,calle 16 y calle real mz d lote 15,inicial - jardin,privada - particular,-12.01812,-76.9657
7749,solidaridad iii,sjl,avenida los proceres mz r lote 15,secundaria,publica - sector educacion,-12.01247,-76.96263
7750,0119 canto bello,sjl,avenida canto bello s/n,primaria,publica - sector educacion,-11.97731,-77.01825
7753,loris malaguzzi school,sjl,jiron nevado huascaran 385-387,inicial - jardin,privada - particular,-11.98076103,-77.01946193
7756,mentor de canto grande,sjl,jiron los naranjos mz a lote 11 sector de parcela. sem rusti,inicial - jardin,privada - particular,-11.98047,-77.01063
7760,115-24 semillita del saber,sjl,cesar vallejo mz u lote 1,inicial - jardin,publica - sector educacion,-11.93827,-76.96668
7761,0115 06,sjl,motupe,inicial - jardin,publica - sector educacion,-11.93699,-76.97613
7762,115-13 virgen de las mercedes,sjl,cruz de motupe mz c,inicial - jardin,publica - sector educacion,-11.94066,-76.97151
7763,caminito de motupe,sjl,mz j lote 13 etapa 1 gpo.3,inicial - jardin,publica - sector educacion,-11.94078,-76.97623
7764,trento san juan,sjl,calle real mz a4 lote 4-5,basica alternativa - avanzado,privada - particular,-11.97247,-76.98987
7765,098,sjl,huanta mz p lote 1,inicial - jardin,publica - sector educacion,-11.98614,-76.99467
7766,0131 monitor huascar,sjl,avenida san martin s/n,secundaria,publica - sector educacion,-11.96486,-77.01053
7768,145 independencia americana,sjl,avenida los nardos ampliacion grupo 18 lote cei sector b,secundaria,publica - sector educacion,-11.95086,-77.00404
7771,francisco bolognesi cervantes,sjl,avenida francisco bolognesi s/n,inicial - jardin,publica - sector educacion,-11.96519,-77.00431
7776,san judas tadeo school,sjl,avenida 13 de enero 1340 mz f lote 18,inicial - jardin,privada - particular,-12.0103,-76.999
7778,uniciencia,sjl,jiron los grafitos 805 mz t-iv lote 9,inicial - jardin,privada - particular,-11.99644,-76.99884
